Volatility 3 Framework 2.4.1

PID	Process	Value	Privilege	Attributes	Description
136	Registry	17	SeBackupPrivilege		Backup files and directories
136	Registry	18	SeRestorePrivilege		Restore files and directories
136	Registry	19	SeShutdownPrivilege		Shut down the system
136	Registry	20	SeDebugPrivilege		Debug programs
136	Registry	21	SeAuditPrivilege		Generate security audits
136	Registry	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
136	Registry	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
136	Registry	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
136	Registry	25	SeUndockPrivilege		Remove computer from docking station
136	Registry	26	SeSyncAgentPrivilege		Synch directory service data
136	Registry	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
136	Registry	28	SeManageVolumePrivilege		Manage the files on a volume
136	Registry	29	SeImpersonatePrivilege		Impersonate a client after authentication
136	Registry	30	SeCreateGlobalPrivilege		Create global objects
136	Registry	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
136	Registry	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
136	Registry	33	SeIncreaseWorkingSetPrivilege		Allocate more memory for user applications
136	Registry	34	SeTimeZonePrivilege		Adjust the time zone of the computer's internal clock
136	Registry	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
136	Registry	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
360	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
360	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
360	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
360	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
360	smss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
360	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
360	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
360	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
360	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
360	smss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
360	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
360	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
360	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
360	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
360	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
360	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
360	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
360	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
360	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
360	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
360	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
360	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
360	smss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
360	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
360	smss.exe	26	SeSyncAgentPrivilege		Synch directory service data
360	smss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
360	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
360	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
360	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
360	smss.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
360	smss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
360	smss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
360	smss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
360	smss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
360	smss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
464	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
464	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
464	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
464	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
464	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
464	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
464	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
464	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
464	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
464	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
464	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
464	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
464	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
464	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
464	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
464	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
464	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
464	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
464	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
464	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
464	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
464	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
464	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
464	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
464	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
464	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
464	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
464	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
464	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
464	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
464	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
464	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
464	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
464	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
464	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
540	wininit.exe	2	SeCreateTokenPrivilege		Create a token object
540	wininit.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
540	wininit.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
540	wininit.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
540	wininit.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
540	wininit.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
540	wininit.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
540	wininit.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
540	wininit.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
540	wininit.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
540	wininit.exe	12	SeSystemtimePrivilege		Change the system time
540	wininit.exe	13	SeProfileSingleProcessPrivilege	Default	Profile a single process
540	wininit.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
540	wininit.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
540	wininit.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
540	wininit.exe	17	SeBackupPrivilege	Present	Backup files and directories
540	wininit.exe	18	SeRestorePrivilege	Present	Restore files and directories
540	wininit.exe	19	SeShutdownPrivilege	Present	Shut down the system
540	wininit.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
540	wininit.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
540	wininit.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
540	wininit.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
540	wininit.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
540	wininit.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
540	wininit.exe	26	SeSyncAgentPrivilege		Synch directory service data
540	wininit.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
540	wininit.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
540	wininit.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
540	wininit.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
540	wininit.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
540	wininit.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
540	wininit.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
540	wininit.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
540	wininit.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
540	wininit.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
560	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
560	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
560	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
560	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
560	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
560	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
560	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
560	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
560	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
560	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
560	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
560	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
560	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
560	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
560	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
560	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
560	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
560	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
560	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
560	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
560	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
560	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
560	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
560	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
560	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
560	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
560	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
560	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
560	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
560	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
560	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
560	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
560	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
560	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
560	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
644	winlogon.exe	2	SeCreateTokenPrivilege		Create a token object
644	winlogon.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
644	winlogon.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
644	winlogon.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
644	winlogon.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
644	winlogon.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
644	winlogon.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
644	winlogon.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
644	winlogon.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
644	winlogon.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
644	winlogon.exe	12	SeSystemtimePrivilege		Change the system time
644	winlogon.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
644	winlogon.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
644	winlogon.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
644	winlogon.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
644	winlogon.exe	17	SeBackupPrivilege	Present	Backup files and directories
644	winlogon.exe	18	SeRestorePrivilege	Present	Restore files and directories
644	winlogon.exe	19	SeShutdownPrivilege	Present	Shut down the system
644	winlogon.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
644	winlogon.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
644	winlogon.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
644	winlogon.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
644	winlogon.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
644	winlogon.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
644	winlogon.exe	26	SeSyncAgentPrivilege		Synch directory service data
644	winlogon.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
644	winlogon.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
644	winlogon.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
644	winlogon.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
644	winlogon.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
644	winlogon.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
644	winlogon.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
644	winlogon.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
644	winlogon.exe	35	SeCreateSymbolicLinkPrivilege	Default	Required to create a symbolic link
644	winlogon.exe	36	SeDelegateSessionUserImpersonatePrivilege	Default	Obtain an impersonation token for another user in the same session.
688	services.exe	2	SeCreateTokenPrivilege		Create a token object
688	services.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
688	services.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
688	services.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
688	services.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
688	services.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
688	services.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
688	services.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
688	services.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
688	services.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
688	services.exe	12	SeSystemtimePrivilege	Present	Change the system time
688	services.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
688	services.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
688	services.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
688	services.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
688	services.exe	17	SeBackupPrivilege	Present	Backup files and directories
688	services.exe	18	SeRestorePrivilege	Present	Restore files and directories
688	services.exe	19	SeShutdownPrivilege	Present	Shut down the system
688	services.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
688	services.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
688	services.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
688	services.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
688	services.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
688	services.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
688	services.exe	26	SeSyncAgentPrivilege		Synch directory service data
688	services.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
688	services.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
688	services.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
688	services.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
688	services.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
688	services.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
688	services.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
688	services.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
688	services.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
688	services.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
712	lsass.exe	2	SeCreateTokenPrivilege	Present,Enabled	Create a token object
712	lsass.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
712	lsass.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
712	lsass.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
712	lsass.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
712	lsass.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
712	lsass.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
712	lsass.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
712	lsass.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
712	lsass.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
712	lsass.exe	12	SeSystemtimePrivilege	Present	Change the system time
712	lsass.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
712	lsass.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
712	lsass.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
712	lsass.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
712	lsass.exe	17	SeBackupPrivilege	Present	Backup files and directories
712	lsass.exe	18	SeRestorePrivilege	Present	Restore files and directories
712	lsass.exe	19	SeShutdownPrivilege	Present	Shut down the system
712	lsass.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
712	lsass.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
712	lsass.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
712	lsass.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
712	lsass.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
712	lsass.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
712	lsass.exe	26	SeSyncAgentPrivilege		Synch directory service data
712	lsass.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
712	lsass.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
712	lsass.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
712	lsass.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
712	lsass.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
712	lsass.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
712	lsass.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
712	lsass.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
712	lsass.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
712	lsass.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
832	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
832	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
832	svchost.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
832	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
832	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
832	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
832	svchost.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
832	svchost.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
832	svchost.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
832	svchost.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
832	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
832	svchost.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
832	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
832	svchost.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
832	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
832	svchost.exe	17	SeBackupPrivilege	Present	Backup files and directories
832	svchost.exe	18	SeRestorePrivilege	Present	Restore files and directories
832	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
832	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
832	svchost.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
832	svchost.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
832	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
832	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
832	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
832	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
832	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
832	svchost.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
832	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
832	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
832	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
832	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
832	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
