Volatility 3 Framework 2.4.1

PID	Process	Block	Variable	Value
544	csrss.exe	0x2849c4033a0	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
544	csrss.exe	0x2849c4033a0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
544	csrss.exe	0x2849c4033a0	PROCESSOR_ARCHITECTURE	AMD64
544	csrss.exe	0x2849c4033a0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
544	csrss.exe	0x2849c4033a0	PROCESSOR_LEVEL	23
544	csrss.exe	0x2849c4033a0	PROCESSOR_REVISION	7100
544	csrss.exe	0x2849c4033a0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
544	csrss.exe	0x2849c4033a0	RAW_TOOLS_DIR	C:\Tools
544	csrss.exe	0x2849c4033a0	SystemDrive	C:
544	csrss.exe	0x2849c4033a0	SystemRoot	C:\Windows
544	csrss.exe	0x2849c4033a0	TEMP	C:\Windows\TEMP
544	csrss.exe	0x2849c4033a0	TMP	C:\Windows\TEMP
544	csrss.exe	0x2849c4033a0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
544	csrss.exe	0x2849c4033a0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
544	csrss.exe	0x2849c4033a0	USERNAME	SYSTEM
544	csrss.exe	0x2849c4033a0	VM_COMMON_DIR	C:\ProgramData\FEVM
544	csrss.exe	0x2849c4033a0	windir	C:\Windows
628	winlogon.exe	0x2450f181b90	ALLUSERSPROFILE	C:\ProgramData
628	winlogon.exe	0x2450f181b90	ChocolateyInstall	C:\ProgramData\chocolatey
628	winlogon.exe	0x2450f181b90	ChocolateyToolsLocation	C:\Tools
628	winlogon.exe	0x2450f181b90	CommonProgramFiles	C:\Program Files\Common Files
628	winlogon.exe	0x2450f181b90	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
628	winlogon.exe	0x2450f181b90	CommonProgramW6432	C:\Program Files\Common Files
628	winlogon.exe	0x2450f181b90	COMPUTERNAME	MSEDGEWIN10
628	winlogon.exe	0x2450f181b90	ComSpec	C:\Windows\system32\cmd.exe
628	winlogon.exe	0x2450f181b90	DriverData	C:\Windows\System32\Drivers\DriverData
628	winlogon.exe	0x2450f181b90	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
628	winlogon.exe	0x2450f181b90	NUMBER_OF_PROCESSORS	8
628	winlogon.exe	0x2450f181b90	OS	Windows_NT
628	winlogon.exe	0x2450f181b90	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
628	winlogon.exe	0x2450f181b90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
628	winlogon.exe	0x2450f181b90	PROCESSOR_ARCHITECTURE	AMD64
628	winlogon.exe	0x2450f181b90	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
628	winlogon.exe	0x2450f181b90	PROCESSOR_LEVEL	23
628	winlogon.exe	0x2450f181b90	PROCESSOR_REVISION	7100
628	winlogon.exe	0x2450f181b90	ProgramData	C:\ProgramData
628	winlogon.exe	0x2450f181b90	ProgramFiles	C:\Program Files
628	winlogon.exe	0x2450f181b90	ProgramFiles(x86)	C:\Program Files (x86)
628	winlogon.exe	0x2450f181b90	ProgramW6432	C:\Program Files
628	winlogon.exe	0x2450f181b90	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
628	winlogon.exe	0x2450f181b90	PUBLIC	C:\Users\Public
628	winlogon.exe	0x2450f181b90	RAW_TOOLS_DIR	C:\Tools
628	winlogon.exe	0x2450f181b90	SystemDrive	C:
628	winlogon.exe	0x2450f181b90	SystemRoot	C:\Windows
628	winlogon.exe	0x2450f181b90	TEMP	C:\Windows\TEMP
628	winlogon.exe	0x2450f181b90	TMP	C:\Windows\TEMP
628	winlogon.exe	0x2450f181b90	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
628	winlogon.exe	0x2450f181b90	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
628	winlogon.exe	0x2450f181b90	USERNAME	SYSTEM
628	winlogon.exe	0x2450f181b90	USERPROFILE	C:\Windows\system32\config\systemprofile
628	winlogon.exe	0x2450f181b90	VM_COMMON_DIR	C:\ProgramData\FEVM
628	winlogon.exe	0x2450f181b90	windir	C:\Windows
672	services.exe	0x1812e0036e0	ALLUSERSPROFILE	C:\ProgramData
672	services.exe	0x1812e0036e0	ChocolateyInstall	C:\ProgramData\chocolatey
672	services.exe	0x1812e0036e0	ChocolateyToolsLocation	C:\Tools
672	services.exe	0x1812e0036e0	CommonProgramFiles	C:\Program Files\Common Files
672	services.exe	0x1812e0036e0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
672	services.exe	0x1812e0036e0	CommonProgramW6432	C:\Program Files\Common Files
672	services.exe	0x1812e0036e0	COMPUTERNAME	MSEDGEWIN10
672	services.exe	0x1812e0036e0	ComSpec	C:\Windows\system32\cmd.exe
672	services.exe	0x1812e0036e0	DriverData	C:\Windows\System32\Drivers\DriverData
672	services.exe	0x1812e0036e0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
672	services.exe	0x1812e0036e0	NUMBER_OF_PROCESSORS	8
672	services.exe	0x1812e0036e0	OS	Windows_NT
672	services.exe	0x1812e0036e0	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
672	services.exe	0x1812e0036e0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
672	services.exe	0x1812e0036e0	PROCESSOR_ARCHITECTURE	AMD64
672	services.exe	0x1812e0036e0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
672	services.exe	0x1812e0036e0	PROCESSOR_LEVEL	23
672	services.exe	0x1812e0036e0	PROCESSOR_REVISION	7100
672	services.exe	0x1812e0036e0	ProgramData	C:\ProgramData
672	services.exe	0x1812e0036e0	ProgramFiles	C:\Program Files
672	services.exe	0x1812e0036e0	ProgramFiles(x86)	C:\Program Files (x86)
672	services.exe	0x1812e0036e0	ProgramW6432	C:\Program Files
672	services.exe	0x1812e0036e0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
672	services.exe	0x1812e0036e0	PUBLIC	C:\Users\Public
672	services.exe	0x1812e0036e0	RAW_TOOLS_DIR	C:\Tools
672	services.exe	0x1812e0036e0	SystemDrive	C:
672	services.exe	0x1812e0036e0	SystemRoot	C:\Windows
672	services.exe	0x1812e0036e0	TEMP	C:\Windows\TEMP
672	services.exe	0x1812e0036e0	TMP	C:\Windows\TEMP
672	services.exe	0x1812e0036e0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
672	services.exe	0x1812e0036e0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
672	services.exe	0x1812e0036e0	USERNAME	SYSTEM
672	services.exe	0x1812e0036e0	USERPROFILE	C:\Windows\system32\config\systemprofile
672	services.exe	0x1812e0036e0	VM_COMMON_DIR	C:\ProgramData\FEVM
672	services.exe	0x1812e0036e0	windir	C:\Windows
680	lsass.exe	0x1ceee4036e0	ALLUSERSPROFILE	C:\ProgramData
680	lsass.exe	0x1ceee4036e0	ChocolateyInstall	C:\ProgramData\chocolatey
680	lsass.exe	0x1ceee4036e0	ChocolateyToolsLocation	C:\Tools
680	lsass.exe	0x1ceee4036e0	CommonProgramFiles	C:\Program Files\Common Files
680	lsass.exe	0x1ceee4036e0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
680	lsass.exe	0x1ceee4036e0	CommonProgramW6432	C:\Program Files\Common Files
680	lsass.exe	0x1ceee4036e0	COMPUTERNAME	MSEDGEWIN10
680	lsass.exe	0x1ceee4036e0	ComSpec	C:\Windows\system32\cmd.exe
680	lsass.exe	0x1ceee4036e0	DriverData	C:\Windows\System32\Drivers\DriverData
680	lsass.exe	0x1ceee4036e0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
680	lsass.exe	0x1ceee4036e0	NUMBER_OF_PROCESSORS	8
680	lsass.exe	0x1ceee4036e0	OS	Windows_NT
680	lsass.exe	0x1ceee4036e0	Path	C:\Windows\System32
680	lsass.exe	0x1ceee4036e0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
680	lsass.exe	0x1ceee4036e0	PROCESSOR_ARCHITECTURE	AMD64
680	lsass.exe	0x1ceee4036e0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
680	lsass.exe	0x1ceee4036e0	PROCESSOR_LEVEL	23
680	lsass.exe	0x1ceee4036e0	PROCESSOR_REVISION	7100
680	lsass.exe	0x1ceee4036e0	ProgramData	C:\ProgramData
680	lsass.exe	0x1ceee4036e0	ProgramFiles	C:\Program Files
680	lsass.exe	0x1ceee4036e0	ProgramFiles(x86)	C:\Program Files (x86)
680	lsass.exe	0x1ceee4036e0	ProgramW6432	C:\Program Files
680	lsass.exe	0x1ceee4036e0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
680	lsass.exe	0x1ceee4036e0	PUBLIC	C:\Users\Public
680	lsass.exe	0x1ceee4036e0	RAW_TOOLS_DIR	C:\Tools
680	lsass.exe	0x1ceee4036e0	SystemDrive	C:
680	lsass.exe	0x1ceee4036e0	SystemRoot	C:\Windows
680	lsass.exe	0x1ceee4036e0	TEMP	C:\Windows\TEMP
680	lsass.exe	0x1ceee4036e0	TMP	C:\Windows\TEMP
680	lsass.exe	0x1ceee4036e0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
680	lsass.exe	0x1ceee4036e0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
680	lsass.exe	0x1ceee4036e0	USERNAME	SYSTEM
680	lsass.exe	0x1ceee4036e0	USERPROFILE	C:\Windows\system32\config\systemprofile
680	lsass.exe	0x1ceee4036e0	VM_COMMON_DIR	C:\ProgramData\FEVM
680	lsass.exe	0x1ceee4036e0	windir	C:\Windows
680	lsass.exe	0x1ceee4036e0	C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Module	C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
680	lsass.exe	0x1ceee4036e0	PUBLIC	C:\Users\Public
680	lsass.exe	0x1ceee4036e0	RAW_TOOLS_DIR	C:\Tools
680	lsass.exe	0x1ceee4036e0	SystemDrive	C:
680	lsass.exe	0x1ceee4036e0	SystemRoot	C:\Windows
680	lsass.exe	0x1ceee4036e0	TEMP	C:\Windows\TEMP
680	lsass.exe	0x1ceee4036e0	TMP	C:\Windows\TEMP
680	lsass.exe	0x1ceee4036e0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
680	lsass.exe	0x1ceee4036e0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
680	lsass.exe	0x1ceee4036e0	USERNAME	SYSTEM
680	lsass.exe	0x1ceee4036e0	USERPROFILE	C:\Windows\system32\config\systemprofile
680	lsass.exe	0x1ceee4036e0	VM_COMMON_DIR	C:\ProgramData\FEVM
680	lsass.exe	0x1ceee4036e0	windir	C:\Windows
816	svchost.exe	0x222c18038c0	ALLUSERSPROFILE	C:\ProgramData
816	svchost.exe	0x222c18038c0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
816	svchost.exe	0x222c18038c0	ChocolateyInstall	C:\ProgramData\chocolatey
816	svchost.exe	0x222c18038c0	ChocolateyToolsLocation	C:\Tools
816	svchost.exe	0x222c18038c0	CommonProgramFiles	C:\Program Files\Common Files
816	svchost.exe	0x222c18038c0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
816	svchost.exe	0x222c18038c0	CommonProgramW6432	C:\Program Files\Common Files
816	svchost.exe	0x222c18038c0	COMPUTERNAME	MSEDGEWIN10
816	svchost.exe	0x222c18038c0	ComSpec	C:\Windows\system32\cmd.exe
816	svchost.exe	0x222c18038c0	DriverData	C:\Windows\System32\Drivers\DriverData
816	svchost.exe	0x222c18038c0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
816	svchost.exe	0x222c18038c0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
816	svchost.exe	0x222c18038c0	NUMBER_OF_PROCESSORS	8
816	svchost.exe	0x222c18038c0	OS	Windows_NT
816	svchost.exe	0x222c18038c0	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin;C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps
816	svchost.exe	0x222c18038c0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
816	svchost.exe	0x222c18038c0	PROCESSOR_ARCHITECTURE	AMD64
816	svchost.exe	0x222c18038c0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
816	svchost.exe	0x222c18038c0	PROCESSOR_LEVEL	23
816	svchost.exe	0x222c18038c0	PROCESSOR_REVISION	7100
816	svchost.exe	0x222c18038c0	ProgramData	C:\ProgramData
816	svchost.exe	0x222c18038c0	ProgramFiles	C:\Program Files
816	svchost.exe	0x222c18038c0	ProgramFiles(x86)	C:\Program Files (x86)
816	svchost.exe	0x222c18038c0	ProgramW6432	C:\Program Files
816	svchost.exe	0x222c18038c0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
816	svchost.exe	0x222c18038c0	PUBLIC	C:\Users\Public
816	svchost.exe	0x222c18038c0	RAW_TOOLS_DIR	C:\Tools
816	svchost.exe	0x222c18038c0	SystemDrive	C:
816	svchost.exe	0x222c18038c0	SystemRoot	C:\Windows
816	svchost.exe	0x222c18038c0	TEMP	C:\Windows\TEMP
816	svchost.exe	0x222c18038c0	TMP	C:\Windows\TEMP
816	svchost.exe	0x222c18038c0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
816	svchost.exe	0x222c18038c0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
816	svchost.exe	0x222c18038c0	USERDOMAIN	WORKGROUP
816	svchost.exe	0x222c18038c0	USERNAME	MSEDGEWIN10$
816	svchost.exe	0x222c18038c0	USERPROFILE	C:\Windows\system32\config\systemprofile
816	svchost.exe	0x222c18038c0	VM_COMMON_DIR	C:\ProgramData\FEVM
816	svchost.exe	0x222c18038c0	windir	C:\Windows
840	fontdrvhost.ex	0x208ca121ff0	ALLUSERSPROFILE	C:\ProgramData
840	fontdrvhost.ex	0x208ca121ff0	ChocolateyInstall	C:\ProgramData\chocolatey
840	fontdrvhost.ex	0x208ca121ff0	ChocolateyToolsLocation	C:\Tools
840	fontdrvhost.ex	0x208ca121ff0	CommonProgramFiles	C:\Program Files\Common Files
840	fontdrvhost.ex	0x208ca121ff0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
840	fontdrvhost.ex	0x208ca121ff0	CommonProgramW6432	C:\Program Files\Common Files
840	fontdrvhost.ex	0x208ca121ff0	COMPUTERNAME	MSEDGEWIN10
840	fontdrvhost.ex	0x208ca121ff0	ComSpec	C:\Windows\system32\cmd.exe
840	fontdrvhost.ex	0x208ca121ff0	DriverData	C:\Windows\System32\Drivers\DriverData
840	fontdrvhost.ex	0x208ca121ff0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
840	fontdrvhost.ex	0x208ca121ff0	LOCALAPPDATA	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC
840	fontdrvhost.ex	0x208ca121ff0	NUMBER_OF_PROCESSORS	8
840	fontdrvhost.ex	0x208ca121ff0	OS	Windows_NT
840	fontdrvhost.ex	0x208ca121ff0	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
840	fontdrvhost.ex	0x208ca121ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
840	fontdrvhost.ex	0x208ca121ff0	PROCESSOR_ARCHITECTURE	AMD64
840	fontdrvhost.ex	0x208ca121ff0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
840	fontdrvhost.ex	0x208ca121ff0	PROCESSOR_LEVEL	23
840	fontdrvhost.ex	0x208ca121ff0	PROCESSOR_REVISION	7100
840	fontdrvhost.ex	0x208ca121ff0	ProgramData	C:\ProgramData
840	fontdrvhost.ex	0x208ca121ff0	ProgramFiles	C:\Program Files
840	fontdrvhost.ex	0x208ca121ff0	ProgramFiles(x86)	C:\Program Files (x86)
840	fontdrvhost.ex	0x208ca121ff0	ProgramW6432	C:\Program Files
840	fontdrvhost.ex	0x208ca121ff0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
